date,code,name,logic_level,expected_scenario,key_catalyst,support_level,resistance_level,key_observation_level,actual_1d_return,actual_3d_return,actual_5d_return,actual_outcome,hit_expectation,notes
2026-06-01,002995.SZ,天地在线,硬逻辑,强势延续,MiniMax 启动 A 股 IPO 辅导、AI 模型迭代与软件应用商业化预期催化。,待核验,待核验,竞价/封单/同题材涨停家数；首封10:11:09，开板0次,待回填,待回填,待回填,待回填,待回填,AI应用；高位连板/高换手分歧
2026-06-01,600121.SH,郑州煤电,硬逻辑,分歧换手,焦煤焦炭期货走强叠加印尼资源出口单一窗口政策预期，资源供给收缩交易升温。,待核验,待核验,竞价/封单/同题材涨停家数；首封10:38:46，开板0次,待回填,待回填,待回填,待回填,待回填,煤炭/资源供给；待观察
2026-06-01,601101.SH,昊华能源,硬逻辑,分歧换手,焦煤焦炭期货走强叠加印尼资源出口单一窗口政策预期，资源供给收缩交易升温。,待核验,待核验,竞价/封单/同题材涨停家数；首封10:38:52，开板0次,待回填,待回填,待回填,待回填,待回填,煤炭/资源供给；待观察
2026-06-01,601699.SH,潞安环能,硬逻辑,分歧换手,焦煤焦炭期货走强叠加印尼资源出口单一窗口政策预期，资源供给收缩交易升温。,待核验,待核验,竞价/封单/同题材涨停家数；首封10:52:25，开板3次,待回填,待回填,待回填,待回填,待回填,煤炭/资源供给；待观察
2026-06-01,600403.SH,大有能源,硬逻辑,分歧换手,焦煤焦炭期货走强叠加印尼资源出口单一窗口政策预期，资源供给收缩交易升温。,待核验,待核验,竞价/封单/同题材涨停家数；首封10:57:07，开板2次,待回填,待回填,待回填,待回填,待回填,煤炭/资源供给；待观察
2026-06-01,600188.SH,兖矿能源,硬逻辑,分歧换手,焦煤焦炭期货走强叠加印尼资源出口单一窗口政策预期，资源供给收缩交易升温。,待核验,待核验,竞价/封单/同题材涨停家数；首封14:34:27，开板0次,待回填,待回填,待回填,待回填,待回填,煤炭/资源供给；待观察
2026-06-01,600011.SH,华能国际,硬逻辑,分歧换手,迎峰度夏能源保供、深圳电网负荷创新高，电价/气候/算力多重催化。,待核验,待核验,竞价/封单/同题材涨停家数；首封14:56:15，开板0次,待回填,待回填,待回填,待回填,待回填,电力/能源保供；待观察
2026-06-01,301439.SZ,泓淋电力,中性逻辑,分歧换手,迎峰度夏能源保供、深圳电网负荷创新高，电价/气候/算力多重催化。,待核验,待核验,竞价/封单/同题材涨停家数；首封10:03:12，开板0次,待回填,待回填,待回填,待回填,待回填,电力/能源保供；高换手分歧
2026-06-01,002426.SZ,胜利精密,中性逻辑,分歧换手,英伟达/微软/Arm 新 PC 平台预热，端侧 AI 渗透预期升温；消费电子链低位补涨。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:25:00，开板0次,待回填,待回填,待回填,待回填,待回填,AI PC/消费电子；待观察
2026-06-01,300956.SZ,英力股份,中性逻辑,分歧换手,英伟达/微软/Arm 新 PC 平台预热，端侧 AI 渗透预期升温；消费电子链低位补涨。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:25:00，开板0次,待回填,待回填,待回填,待回填,待回填,AI PC/消费电子；待观察
2026-06-01,001314.SZ,亿道信息,中性逻辑,分歧换手,英伟达/微软/Arm 新 PC 平台预热，端侧 AI 渗透预期升温；消费电子链低位补涨。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:31:36，开板0次,待回填,待回填,待回填,待回填,待回填,AI PC/消费电子；待观察
2026-06-01,600797.SH,浙大网新,中性逻辑,分歧换手,MiniMax 启动 A 股 IPO 辅导、AI 模型迭代与软件应用商业化预期催化。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:32:13，开板1次,待回填,待回填,待回填,待回填,待回填,AI应用；待观察
2026-06-01,001210.SZ,金房能源,中性逻辑,分歧换手,迎峰度夏能源保供、深圳电网负荷创新高，电价/气候/算力多重催化。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:33:18，开板0次,待回填,待回填,待回填,待回填,待回填,电力/能源保供；待观察
2026-06-01,000681.SZ,视觉中国,中性逻辑,分歧换手,MiniMax 启动 A 股 IPO 辅导、AI 模型迭代与软件应用商业化预期催化。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:39:24，开板0次,待回填,待回填,待回填,待回填,待回填,AI应用；待观察
2026-06-01,603533.SH,掌阅科技,中性逻辑,分歧换手,MiniMax 启动 A 股 IPO 辅导、AI 模型迭代与软件应用商业化预期催化。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:39:59，开板1次,待回填,待回填,待回填,待回填,待回填,AI应用；待观察
2026-06-01,603171.SH,税友股份,中性逻辑,分歧换手,MiniMax 启动 A 股 IPO 辅导、AI 模型迭代与软件应用商业化预期催化。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:40:02，开板0次,待回填,待回填,待回填,待回填,待回填,AI应用；待观察
2026-06-01,002279.SZ,久其软件,中性逻辑,分歧换手,MiniMax 启动 A 股 IPO 辅导、AI 模型迭代与软件应用商业化预期催化。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:40:54，开板4次,待回填,待回填,待回填,待回填,待回填,AI应用；待观察
2026-06-01,002421.SZ,达实智能,中性逻辑,分歧换手,MiniMax 启动 A 股 IPO 辅导、AI 模型迭代与软件应用商业化预期催化。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:41:48，开板0次,待回填,待回填,待回填,待回填,待回填,AI应用；待观察
2026-06-01,002474.SZ,榕基软件,中性逻辑,分歧换手,MiniMax 启动 A 股 IPO 辅导、AI 模型迭代与软件应用商业化预期催化。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:42:33，开板0次,待回填,待回填,待回填,待回填,待回填,AI应用；待观察
2026-06-01,603341.SH,龙旗科技,中性逻辑,分歧换手,英伟达/微软/Arm 新 PC 平台预热，端侧 AI 渗透预期升温；消费电子链低位补涨。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:42:47，开板2次,待回填,待回填,待回填,待回填,待回填,AI PC/消费电子；待观察
2026-06-01,002328.SZ,新朋股份,擦边逻辑,分歧换手,前排高标延续与制造业/机器人低位补涨，偏资金情绪与产业映射共振。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:30:21，开板5次,待回填,待回填,待回填,待回填,待回填,机器人/制造；题材相关性待证实
2026-06-01,600280.SH,中央商场,擦边逻辑,退潮证伪,消费/零售 相关方向涨停，更多催化待公告/新闻核验。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:32:08，开板2次,待回填,待回填,待回填,待回填,待回填,消费/零售；题材相关性待证实
2026-06-01,603823.SH,百合花,擦边逻辑,分歧换手,化工材料 相关方向涨停，更多催化待公告/新闻核验。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:38:23，开板4次,待回填,待回填,待回填,待回填,待回填,化工材料；题材相关性待证实
2026-06-01,603045.SH,福达合金,擦边逻辑,分歧换手,金属新材 相关方向涨停，更多催化待公告/新闻核验。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:44:46，开板5次,待回填,待回填,待回填,待回填,待回填,金属新材；题材相关性待证实
2026-06-01,002081.SZ,金 螳 螂,擦边逻辑,分歧换手,地产基建 相关方向涨停，更多催化待公告/新闻核验。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:45:48，开板1次,待回填,待回填,待回填,待回填,待回填,地产基建；题材相关性待证实
