date,code,name,logic_level,expected_scenario,key_catalyst,support_level,resistance_level,key_observation_level,actual_1d_return,actual_3d_return,actual_5d_return,actual_outcome,hit_expectation,notes
2026-06-02,600487.SH,亨通光电,硬逻辑,分歧换手,英伟达隔夜上涨、CPO 部署节奏超预期，光通信/光纤链集体反弹。,待核验,待核验,竞价/封单/同题材涨停家数；首封10:30:05，开板1次,待回填,待回填,待回填,待回填,待回填,光通信/CPO；待观察
2026-06-02,600301.SH,华锡有色,硬逻辑,分歧换手,AI 与光模块焊接需求带动锡价半年大涨，金属材料链强化。,待核验,待核验,竞价/封单/同题材涨停家数；首封10:58:30，开板0次,待回填,待回填,待回填,待回填,待回填,有色锡/金属；待观察
2026-06-02,601869.SH,长飞光纤,硬逻辑,分歧换手,英伟达隔夜上涨、CPO 部署节奏超预期，光通信/光纤链集体反弹。,待核验,待核验,竞价/封单/同题材涨停家数；首封11:04:17，开板3次,待回填,待回填,待回填,待回填,待回填,光通信/CPO；待观察
2026-06-02,000960.SZ,锡业股份,硬逻辑,分歧换手,AI 与光模块焊接需求带动锡价半年大涨，金属材料链强化。,待核验,待核验,竞价/封单/同题材涨停家数；首封13:06:42，开板0次,待回填,待回填,待回填,待回填,待回填,有色锡/金属；待观察
2026-06-02,002384.SZ,东山精密,硬逻辑,分歧换手,AI 服务器 MLCC 用量大增、PCB/电子布/被动元件供需预期升温。,待核验,待核验,竞价/封单/同题材涨停家数；首封13:12:57，开板14次,待回填,待回填,待回填,待回填,待回填,AI硬件/被动元件/PCB；炸板次数高
2026-06-02,603267.SH,鸿远电子,硬逻辑,分歧换手,AI 服务器 MLCC 用量大增、PCB/电子布/被动元件供需预期升温。,待核验,待核验,竞价/封单/同题材涨停家数；首封13:20:14，开板10次,待回填,待回填,待回填,待回填,待回填,AI硬件/被动元件/PCB；炸板次数高
2026-06-02,920725.BJ,惠丰钻石,硬逻辑,分歧换手,AI 硬件反弹扩散至设备端，自动化/通用设备资金回流。,待核验,待核验,竞价/封单/同题材涨停家数；首封13:59:47，开板0次,待回填,待回填,待回填,待回填,待回填,机器人/自动化；待观察
2026-06-02,001210.SZ,金房能源,中性逻辑,分歧换手,电力 相关方向涨停，更多催化待公告/新闻核验。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:30:54，开板1次,待回填,待回填,待回填,待回填,待回填,电力；待观察
2026-06-02,600367.SH,红星发展,中性逻辑,分歧换手,化工材料 相关方向涨停，更多催化待公告/新闻核验。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:40:25，开板0次,待回填,待回填,待回填,待回填,待回填,化工材料；待观察
2026-06-02,002421.SZ,达实智能,中性逻辑,分歧换手,达实智能等前期 AI 应用人气股延续，但强度弱于硬件链。,待核验,待核验,竞价/封单/同题材涨停家数；首封10:04:42，开板3次,待回填,待回填,待回填,待回填,待回填,AI应用；高换手分歧
2026-06-02,603045.SH,福达合金,中性逻辑,分歧换手,AI 与光模块焊接需求带动锡价半年大涨，金属材料链强化。,待核验,待核验,竞价/封单/同题材涨停家数；首封10:26:25，开板0次,待回填,待回填,待回填,待回填,待回填,有色锡/金属；待观察
2026-06-02,603330.SH,天洋新材,中性逻辑,分歧换手,AI 服务器 MLCC 用量大增、PCB/电子布/被动元件供需预期升温。,待核验,待核验,竞价/封单/同题材涨停家数；首封14:08:25，开板1次,待回填,待回填,待回填,待回填,待回填,AI硬件/被动元件/PCB；待观察
2026-06-02,002951.SZ,金时科技,中性逻辑,分歧换手,其他电源 相关方向涨停，更多催化待公告/新闻核验。,待核验,待核验,竞价/封单/同题材涨停家数；首封14:20:42，开板1次,待回填,待回填,待回填,待回填,待回填,其他电源；待观察
2026-06-02,688079.SH,美迪凯,中性逻辑,分歧换手,英伟达隔夜上涨、CPO 部署节奏超预期，光通信/光纤链集体反弹。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:32:57，开板0次,待回填,待回填,待回填,待回填,待回填,光通信/CPO；待观察
2026-06-02,002962.SZ,五方光电,中性逻辑,分歧换手,英伟达隔夜上涨、CPO 部署节奏超预期，光通信/光纤链集体反弹。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:44:36，开板1次,待回填,待回填,待回填,待回填,待回填,光通信/CPO；待观察
2026-06-02,002876.SZ,三利谱,中性逻辑,分歧换手,英伟达隔夜上涨、CPO 部署节奏超预期，光通信/光纤链集体反弹。,待核验,待核验,竞价/封单/同题材涨停家数；首封10:22:45，开板0次,待回填,待回填,待回填,待回填,待回填,光通信/CPO；待观察
2026-06-02,002137.SZ,实益达,中性逻辑,分歧换手,英伟达隔夜上涨、CPO 部署节奏超预期，光通信/光纤链集体反弹。,待核验,待核验,竞价/封单/同题材涨停家数；首封10:48:33，开板0次,待回填,待回填,待回填,待回填,待回填,光通信/CPO；待观察
2026-06-02,601137.SH,XD博威合,中性逻辑,分歧换手,AI 与光模块焊接需求带动锡价半年大涨，金属材料链强化。,待核验,待核验,竞价/封单/同题材涨停家数；首封10:51:36，开板0次,待回填,待回填,待回填,待回填,待回填,有色锡/金属；待观察
2026-06-02,000586.SZ,汇源通信,中性逻辑,分歧换手,英伟达隔夜上涨、CPO 部署节奏超预期，光通信/光纤链集体反弹。,待核验,待核验,竞价/封单/同题材涨停家数；首封10:58:06，开板0次,待回填,待回填,待回填,待回填,待回填,光通信/CPO；待观察
2026-06-02,301563.SZ,云汉芯城,中性逻辑,分歧换手,AI 服务器 MLCC 用量大增、PCB/电子布/被动元件供需预期升温。,待核验,待核验,竞价/封单/同题材涨停家数；首封11:02:36，开板2次,待回填,待回填,待回填,待回填,待回填,AI硬件/被动元件/PCB；高换手分歧
2026-06-02,600459.SH,贵研铂业,中性逻辑,分歧换手,AI 与光模块焊接需求带动锡价半年大涨，金属材料链强化。,待核验,待核验,竞价/封单/同题材涨停家数；首封11:19:13，开板0次,待回填,待回填,待回填,待回填,待回填,有色锡/金属；待观察
2026-06-02,002404.SZ,嘉欣丝绸,擦边逻辑,退潮证伪,消费/零售 相关方向涨停，更多催化待公告/新闻核验。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:32:03，开板0次,待回填,待回填,待回填,待回填,待回填,消费/零售；题材相关性待证实
2026-06-02,000055.SZ,方大集团,擦边逻辑,退潮证伪,地产基建 相关方向涨停，更多催化待公告/新闻核验。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:33:36，开板0次,待回填,待回填,待回填,待回填,待回填,地产基建；题材相关性待证实
