date,code,name,logic_level,expected_scenario,key_catalyst,support_level,resistance_level,key_observation_level,actual_1d_return,actual_3d_return,actual_5d_return,actual_outcome,hit_expectation,notes
2026-06-03,603330.SH,天洋新材,中性逻辑,强势延续,玻璃基板、培育钻石、超硬材料和金属材料受 AI 芯片散热/封装映射及供需预期催化。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:25:02，开板0次,待回填,待回填,待回填,待回填,待回填,有色/化工材料；高位连板
2026-06-03,002137.SZ,实益达,中性逻辑,分歧换手,英伟达 Spectrum-X 以太网硅光技术全面量产，CPO/光通信延续强势，亨通光电等继续晋级。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:30:09，开板0次,待回填,待回填,待回填,待回填,待回填,光通信/CPO；待观察
2026-06-03,600367.SH,红星发展,中性逻辑,强势延续,玻璃基板、培育钻石、超硬材料和金属材料受 AI 芯片散热/封装映射及供需预期催化。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:31:18，开板0次,待回填,待回填,待回填,待回填,待回填,有色/化工材料；高位连板
2026-06-03,600936.SH,北投科技,中性逻辑,分歧换手,软件与 AI 应用前期人气股延续，但资金强度弱于硬件链。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:49:44，开板4次,待回填,待回填,待回填,待回填,待回填,AI应用；待观察
2026-06-03,000700.SZ,模塑科技,中性逻辑,分歧换手,AI 硬件强势带动设备制造、汽车零部件和自动化支线补涨，更多属于扩散弹性而非主线确认。,待核验,待核验,竞价/封单/同题材涨停家数；首封10:18:54，开板10次,待回填,待回填,待回填,待回填,待回填,设备制造/汽车零部件；炸板次数高
2026-06-03,600310.SH,广西能源,中性逻辑,分歧换手,电力板块午后反复活跃，绿电直连、算电融合和迎峰度夏保供逻辑共振。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:32:26，开板1次,待回填,待回填,待回填,待回填,待回填,电力/能源保供；待观察
2026-06-03,603120.SH,肯特催化,中性逻辑,分歧换手,玻璃基板、培育钻石、超硬材料和金属材料受 AI 芯片散热/封装映射及供需预期催化。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:33:06，开板0次,待回填,待回填,待回填,待回填,待回填,有色/化工材料；待观察
2026-06-03,600198.SH,大唐电信,中性逻辑,分歧换手,英伟达 Spectrum-X 以太网硅光技术全面量产，CPO/光通信延续强势，亨通光电等继续晋级。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:38:33，开板0次,待回填,待回填,待回填,待回填,待回填,光通信/CPO；待观察
2026-06-03,603938.SH,三孚股份,中性逻辑,分歧换手,玻璃基板、培育钻石、超硬材料和金属材料受 AI 芯片散热/封装映射及供需预期催化。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:39:01，开板2次,待回填,待回填,待回填,待回填,待回填,有色/化工材料；待观察
2026-06-03,603663.SH,三祥新材,中性逻辑,分歧换手,玻璃基板、培育钻石、超硬材料和金属材料受 AI 芯片散热/封装映射及供需预期催化。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:40:40，开板7次,待回填,待回填,待回填,待回填,待回填,有色/化工材料；待观察
2026-06-03,605162.SH,新中港,中性逻辑,分歧换手,电力板块午后反复活跃，绿电直连、算电融合和迎峰度夏保供逻辑共振。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:46:38，开板0次,待回填,待回填,待回填,待回填,待回填,电力/能源保供；待观察
2026-06-03,601208.SH,东材科技,中性逻辑,分歧换手,玻璃基板、培育钻石、超硬材料和金属材料受 AI 芯片散热/封装映射及供需预期催化。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:53:48，开板10次,待回填,待回填,待回填,待回填,待回填,有色/化工材料；炸板次数高
2026-06-03,605580.SH,恒盛能源,中性逻辑,分歧换手,电力板块午后反复活跃，绿电直连、算电融合和迎峰度夏保供逻辑共振。,待核验,待核验,竞价/封单/同题材涨停家数；首封10:10:30，开板1次,待回填,待回填,待回填,待回填,待回填,电力/能源保供；待观察
2026-06-03,600078.SH,澄星股份,中性逻辑,分歧换手,玻璃基板、培育钻石、超硬材料和金属材料受 AI 芯片散热/封装映射及供需预期催化。,待核验,待核验,竞价/封单/同题材涨停家数；首封11:03:00，开板0次,待回填,待回填,待回填,待回填,待回填,有色/化工材料；待观察
2026-06-03,300516.SZ,久之洋,中性逻辑,分歧换手,AI 硬件与芯片产业链领涨，先进封装、电子化学品、元件和半导体方向受资金聚焦。,待核验,待核验,竞价/封单/同题材涨停家数；首封13:00:03，开板0次,待回填,待回填,待回填,待回填,待回填,AI硬件/芯片封装；待观察
2026-06-03,000881.SZ,中广核技,中性逻辑,分歧换手,玻璃基板、培育钻石、超硬材料和金属材料受 AI 芯片散热/封装映射及供需预期催化。,待核验,待核验,竞价/封单/同题材涨停家数；首封13:00:48，开板1次,待回填,待回填,待回填,待回填,待回填,有色/化工材料；待观察
2026-06-03,300197.SZ,节能铁汉,擦边逻辑,分歧换手,地产基建 相关方向涨停，更多催化待公告/新闻核验。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:33:57，开板6次,待回填,待回填,待回填,待回填,待回填,地产基建；高位连板/题材相关性待证实
2026-06-03,603319.SH,美湖股份,擦边逻辑,分歧换手,AI 硬件强势带动设备制造、汽车零部件和自动化支线补涨，更多属于扩散弹性而非主线确认。,待核验,待核验,竞价/封单/同题材涨停家数；首封10:09:26，开板31次,待回填,待回填,待回填,待回填,待回填,设备制造/汽车零部件；炸板次数高/题材相关性待证实
2026-06-03,000518.SZ,四环生物,擦边逻辑,分歧换手,生物制品 相关方向涨停，更多催化待公告/新闻核验。,待核验,待核验,竞价/封单/同题材涨停家数；首封10:19:36，开板7次,待回填,待回填,待回填,待回填,待回填,生物制品；题材相关性待证实
2026-06-03,001212.SZ,中旗新材,擦边逻辑,分歧换手,地产基建 相关方向涨停，更多催化待公告/新闻核验。,待核验,待核验,竞价/封单/同题材涨停家数；首封13:06:06，开板13次,待回填,待回填,待回填,待回填,待回填,地产基建；炸板次数高/题材相关性待证实
